Table with row headers in column A and column headers in rows 5 through 6,,,,,,,,,,,,,,,,
"Table 1.  Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race, and Hispanic Origin:  2019",,,,,,,,,,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population.1),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
All Races,Educational Attainment,,,,,,,,,,,,,,,
,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade2,High school graduate,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree
Both Sexes,,,,,,,,,,,,,,,,
18 years and over,250563,834,1469,3163,3413,3604,3958,10118,70947,45028,10381,14168,53312,22459,3150,4557
18 to 24 years,29085,66,57,52,101,240,562,3508,8688,10338,641,1171,3375,245,14,28
25 years and over,221478,769,1412,3111,3312,3365,3397,6611,62259,34690,9741,12998,49937,22214,3136,4529
25 to 29 years,23277,72,41,112,132,233,254,667,6089,4243,978,1438,6823,1803,171,221
30 to 34 years,21932,42,77,212,223,250,275,675,5549,3287,1018,1305,5904,2294,360,461
35 to 39 years,21443,63,118,274,229,390,343,598,5184,2984,1009,1265,5515,2643,299,530
40 to 44 years,19584,76,107,339,293,367,258,550,4990,2737,834,1215,4671,2361,330,455
45 to 49 years,20345,75,114,334,268,342,251,589,5299,3000,935,1327,4785,2229,313,484
50 to 54 years,20355,62,102,298,274,335,270,665,5831,3059,936,1270,4492,2075,295,393
55 to 59 years,21163,54,151,347,283,311,366,700,6374,3370,1007,1307,4348,1908,266,370
60 to 64 years,20592,65,140,318,289,273,318,640,6423,3223,924,1355,4051,1867,329,375
65 to 69 years,17356,68,121,243,264,251,278,439,4927,3042,776,1009,3495,1775,262,404
70 to 74 years,14131,55,143,168,247,178,261,383,4130,2346,556,765,2693,1560,240,405
75 years and over,21301,137,298,466,809,435,522,705,7462,3398,767,740,3160,1699,271,431
Male,,,,,,,,,,,,,,,,
18 years and over,121301,410,743,1653,1653,1769,2014,5377,36076,21500,4809,5949,25206,9721,1827,2596
18 to 24 years,14605,32,38,29,47,148,291,1928,4819,4909,321,501,1421,100,7,16
25 years and over,106695,378,705,1624,1607,1621,1723,3449,31257,16591,4488,5448,23785,9621,1820,2580
25 to 29 years,11792,39,28,60,83,123,138,387,3416,2227,436,644,3302,734,80,96
30 to 34 years,10935,39,41,119,117,120,155,380,3178,1632,454,547,2841,858,216,238
35 to 39 years,10629,33,75,149,115,217,198,330,2951,1512,501,516,2566,1068,141,255
40 to 44 years,9628,51,69,180,128,184,161,266,2740,1350,413,580,2136,966,161,241
45 to 49 years,9993,36,54,178,142,188,126,348,2940,1472,456,605,2070,985,141,253
50 to 54 years,9930,27,42,156,154,159,141,372,3057,1514,425,519,2072,901,155,237
55 to 59 years,10046,31,68,214,146,164,197,388,3116,1443,484,507,2065,854,162,206
60 to 64 years,9819,19,66,175,135,111,149,325,3171,1487,438,533,1949,817,223,220
65 to 69 years,8198,32,49,115,121,130,118,211,2212,1489,335,384,1779,790,184,248
70 to 74 years,6691,10,66,80,113,72,119,153,1753,1099,257,329,1459,769,146,266
75 years and over,9034,60,145,197,353,153,219,290,2724,1366,290,285,1545,877,211,321
Female,,,,,,,,,,,,,,,,
18 years and over,129262,425,726,1510,1760,1836,1945,4742,34872,23528,5572,8220,28106,12738,1324,1960
18 to 24 years,14479,34,19,23,55,92,271,1580,3870,5429,320,670,1954,145,7,12
25 years and over,114783,391,707,1487,1705,1744,1674,3162,31002,18099,5252,7550,26151,12593,1317,1948
25 to 29 years,11485,33,12,52,49,110,116,281,2674,2015,542,795,3521,1069,91,125
30 to 34 years,10997,3,36,93,106,129,120,295,2372,1655,565,758,3063,1436,145,223
35 to 39 years,10814,29,43,125,115,173,145,268,2232,1472,507,749,2949,1574,158,275
40 to 44 years,9956,24,37,158,165,183,97,284,2250,1388,421,635,2535,1395,170,213
45 to 49 years,10351,39,60,156,126,153,126,241,2359,1527,479,723,2716,1244,172,232
50 to 54 years,10425,35,60,142,120,176,129,293,2774,1545,511,752,2420,1174,139,156
55 to 59 years,11117,24,83,133,137,147,169,312,3258,1927,522,801,2282,1054,103,164
60 to 64 years,10773,46,75,143,154,163,168,315,3252,1736,486,822,2102,1050,106,156
65 to 69 years,9158,36,72,128,143,121,160,228,2715,1554,442,625,1716,985,79,156
70 to 74 years,7440,45,77,88,134,106,142,231,2377,1247,300,436,1235,791,94,138
75 years and over,12267,77,153,269,457,283,303,416,4739,2033,477,455,1614,822,59,111

Footnotes:,,,,,,,,,,,,,,,,
A dash (-) represents zero or rounds to zero.,,,,,,,,,,,,,,,,
1 Plus armed forces living off post or with their families on post.,,,,,,,,,,,,,,,,
2 Respondents who have completed 12th grade but did not receive a diploma are included in this category.,,,,,,,,,,,,,,,,
Details may not sum to totals due to rounding.,,,,,,,,,,,,,,,,
"Source:  U.S. Census Bureau, Current Population Survey, 2019 Annual Social and Economic Supplement",,,,,,,,,,,,,,,,
"For more information on confidentiality protection, sampling error, nonsampling error, and definitions, see <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar19.pdf>",,,,,,,,,,,,,,,,
