State,Avg. Teacher Salary (2017),Spending Per Pupil (2016)
Alabama,51616,9944
Alaska,71126,18618
Arizona,49733,8405
Arkansas,51591,10442
California,82352,12683
Colorado,53793,10280
Connecticut,76061,20801
Delaware,63076,15543
District of Columbia,78071,23548
Florida,49166,9784
Georgia,57496,10723
Hawaii,59065,14948
Idaho,50245,7885
Illinois,67083,16196
Indiana,51663,10253
Iowa,58200,11957
Kansas,50785,10884
Kentucky,54049,10524
Louisiana,51403,11876
Maine,54930,15273
Maryland,71070,15586
Massachusetts,82022,18493
Michigan,63194,11748
Minnesota,58979,13188
Mississippi,45857,9137
Missouri,50326,11151
Montana,53870,12043
Nebraska,55336,13215
Nevada,55405,9519
New Hampshire,59031,16656
New Jersey,71366,20441
New Mexico,48129,10384
New York,85972,23861
North Carolina,52293,9389
North Dakota,53945,14369
Ohio,59202,13118
Oklahoma,47259,8267
Oregon,64368,11744
Pennsylvania,68935,16472
Rhode Island,68141,17346
South Carolina,51222,10874
South Dakota,48618,10560
Tennessee,51955,9651
Texas,54439,9936
Utah,50684,7521
Vermont,61811,20332
Virginia,53071,12405
Washington,56847,12494
West Virginia,46588,12258
Wisconsin,52536,12486
Wyoming,59561,17235
