State,Total,2018 GDP
AL,8155523,221126.3
AK,2539488,54011.2
AZ,8656253,346791.9
AR,5625843,128081.7
CA,91054455,2968117.6
CO,11561312,368795.1
CT,10851095,274179.5
DE,2098148,74973.3
FL,29838546,1036323.2
GA,20988208,588171.7
HI,3070859,92027.1
ID,2410373,77004.2
IL,35033057,864587.3
IN,11836660,366706.7
IA,6958710,190150.3
KS,6907549,167041.9
KY,8580534,208339.9
LA,8079072,252117.3
ME,2877061,64350.7
MD,14920717,412920.9
MA,17889700,567254.8
MI,18975838,528008.4
MN,13875489,368317.1
MS,4773606,114107.0
MO,10864199,317749.3
MT,2048275,48970.0
NE,4684483,122966.2
NV,5045173,165803.4
NH,3125315,84711.8
NJ,30480796,624851.9
NM,3636084,99434.5
NY,73368427,1676350.2
NC,15153240,565800.8
ND,1841875,54714.2
OH,24805833,676192.5
OK,6267595,199975.8
OR,8661035,238683.8
PA,31531702,788537.8
RI,2501593,61020.9
SC,10027593,230354.0
SD,1655222,51581.1
TN,10811478,365601.8
TX,65202332,1775796.5
UT,5556089,177336.2
VT,1570861,33725.3
VA,17367248,534448.8
WA,18042261,563150.5
WV,3345139,77477.1
WI,12465177,336971.5
WY,1727633,39371.1
