Id,State,Total,2018 GDP
0,AL,8155523,221126.3
1,AK,2539488,54011.2
2,AZ,8656253,346791.9
3,AR,5625843,128081.7
4,CA,91054455,2968117.6
5,CO,11561312,368795.1
6,CT,10851095,274179.5
7,DE,2098148,74973.3
8,FL,29838546,1036323.2
9,GA,20988208,588171.7
10,HI,3070859,92027.1
11,ID,2410373,77004.2
12,IL,35033057,864587.3
13,IN,11836660,366706.7
14,IA,6958710,190150.3
15,KS,6907549,167041.9
16,KY,8580534,208339.9
17,LA,8079072,252117.3
18,ME,2877061,64350.7
19,MD,14920717,412920.9
20,MA,17889700,567254.8
21,MI,18975838,528008.4
22,MN,13875489,368317.1
23,MS,4773606,114107.0
24,MO,10864199,317749.3
25,MT,2048275,48970.0
26,NE,4684483,122966.2
27,NV,5045173,165803.4
28,NH,3125315,84711.8
29,NJ,30480796,624851.9
30,NM,3636084,99434.5
31,NY,73368427,1676350.2
32,NC,15153240,565800.8
33,ND,1841875,54714.2
34,OH,24805833,676192.5
35,OK,6267595,199975.8
36,OR,8661035,238683.8
37,PA,31531702,788537.8
38,RI,2501593,61020.9
39,SC,10027593,230354.0
40,SD,1655222,51581.1
41,TN,10811478,365601.8
42,TX,65202332,1775796.5
43,UT,5556089,177336.2
44,VT,1570861,33725.3
45,VA,17367248,534448.8
46,WA,18042261,563150.5
47,WV,3345139,77477.1
48,WI,12465177,336971.5
49,WY,1727633,39371.1
